Date,AI_Tech_Index,AI_Tech_Index_Return,VIX,NASDAQ,SP500,Yield_Curve_Slope,Dollar_Strength,Bitcoin,Semiconductor_ETF,AI_Robotics_ETF,Cybersecurity_ETF,Treasury_10Y,Oil_WTI,Gold,Crypto_Tech_Corr_20d,Vol_of_Vol_Ratio,Semi_vs_Tech_Ratio,NASDAQ_Momentum,High_Volatility_Regime,Credit_Spread_Proxy,Pandemic_Period,AI_Boom_Period,Fed_Hike_Period,Tech_Bear_2022,Banking_Crisis_2023,Month,Quarter,Day_of_Week
2019-01-02,72.9061156227475,,23.21999931335449,6665.93994140625,2510.030029296875,0.2960000038146972,,3943.409423828125,41.86136245727539,16.465253829956055,32.50616455078125,2.6610000133514404,46.540000915527344,1281.0,,3.5167961273428783,0.7189613631412656,,1,0.557298949495412,0,0,0,0,0,1,1,2
2019-01-03,69.87766271545773,-4.153907914886723,25.450000762939453,6463.5,2447.889892578125,0.1989998817443847,,3836.7412109375,39.347389221191406,16.024744033813477,31.633119583129883,2.553999900817871,47.09000015258789,1291.800048828125,,3.292730865996209,0.7117022849625125,,1,0.5513001650625046,0,0,0,0,0,1,1,3
2019-01-04,73.72483876773289,5.505587769786868,21.3799991607666,6738.85986328125,2531.93994140625,0.3009998798370361,,3857.717529296875,41.18048858642578,16.533777236938477,32.709861755371094,2.6589999198913574,47.959999084472656,1282.699951171875,,3.949485769688804,0.7132475643203179,,1,0.567118042307097,0,0,0,0,0,1,1,4
2019-01-07,75.63997251646859,2.5976777714892707,21.399999618530277,6823.47021484375,2549.68994140625,0.3289999961853027,,4025.248291015625,41.97562789916992,16.807870864868164,33.42770004272461,2.681999921798706,48.52000045776367,1286.800048828125,,3.866355109283503,0.7205751604334613,,1,0.5743179123975197,0,0,0,0,0,1,1,0
2019-01-08,76.99709363210769,1.7941850988161478,20.46999931335449,6897.0,2574.409912109375,0.3159999847412109,,4030.847900390625,41.73280334472656,17.03302001953125,34.135833740234375,2.7160000801086426,49.77999877929688,1283.199951171875,,4.02589186255349,0.7104528882237217,,1,0.5795688254056512,0,0,0,0,0,1,1,1
2019-01-09,77.34300178573245,0.44924832523876024,19.979999542236328,6957.080078125,2584.9599609375,0.3379998207092285,,4035.29638671875,42.79933166503906,17.277746200561523,34.397743225097656,2.7279999256134038,52.36000061035156,1289.300048828125,,4.335335572129187,0.7192978676971596,,0,0.5811710277723972,0,0,0,0,0,1,1,2
2019-01-10,77.03758407774426,-0.39488732133039495,19.5,6986.06982421875,2596.639892578125,0.3559999465942383,,3678.924560546875,43.24213409423828,17.277746200561523,34.34925079345703,2.7309999465942383,52.59000015258789,1284.699951171875,,4.428205049954928,0.7235430655168529,,0,0.5872367448521153,0,0,0,0,0,1,1,3
2019-01-11,77.01102637109302,-0.034473701335746565,18.190000534057617,6971.47998046875,2596.260009765625,0.3310000896453857,,3687.365478515625,43.59923553466797,17.11133575439453,34.32014465332031,2.700999975204468,51.59000015258789,1287.0999755859375,,4.609675426733855,0.7308960449886941,,0,0.5830774950997724,0,0,0,0,0,1,1,4
2019-01-14,76.57735278492882,-0.5631318093002213,19.06999969482422,6905.919921875,2582.610107421875,0.3500001430511474,,3706.05224609375,42.85171127319336,17.003652572631836,33.9127311706543,2.7100000381469727,50.5099983215332,1289.0999755859375,,4.352910512041602,0.7250972976385337,,0,0.5833719732854074,0,0,0,0,0,1,1,0
2019-01-15,78.32895053000678,2.287357399252765,18.600000381469727,7023.830078125,2610.300048828125,0.3280000686645508,,3630.67529296875,42.96597671508789,17.385427474975586,34.51414489746094,2.7109999656677246,52.11000061035156,1286.199951171875,,4.375806329054344,0.716222240860916,,0,0.5874708113121836,0,0,0,0,0,1,1,1
2019-01-16,77.97628982861836,-0.4502303414027131,19.040000915527344,7034.68994140625,2616.10009765625,0.3680000305175781,,3655.0068359375,42.62792205810547,17.53226661682129,34.446250915527344,2.7309999465942383,52.310001373291016,1291.5999755859375,,4.377100437528124,0.7099203111218066,,0,0.5877934720125377,0,0,0,0,0,1,1,2
2019-01-17,78.5983442578997,0.7977481753088433,18.059999465942383,7084.4599609375,2635.9599609375,0.3940000534057617,,3678.56396484375,43.15642929077149,17.620363235473633,34.805171966552734,2.749000072479248,52.06999969482422,1291.0,,4.584164084370713,0.7141442063647921,,0,0.5892553038337489,0,0,0,0,0,1,1,3
2019-01-18,79.92297286079044,1.6853136225673193,17.799999237060547,7157.22998046875,2670.7099609375,0.4359998703002929,,3657.83935546875,44.22296142578125,18.01192855834961,34.7857666015625,2.7839999198913574,53.79999923706055,1281.300048828125,,4.634269741541391,0.7208188077212182,,0,0.5940475379874198,0,0,0,0,0,1,1,4
2019-01-22,78.35305483000619,-1.964288832847505,20.799999237060547,7020.35986328125,2632.89990234375,0.3849999904632568,,3604.5771484375,42.94217300415039,17.414798736572266,34.3880500793457,2.7300000190734863,52.56999969482422,1282.5,,4.510096201900196,0.7119259548583223,,1,0.5861394842256488,0,0,0,0,0,1,1,1
2019-01-23,78.94739170301528,0.7585369508547712,19.520000457763672,7025.77001953125,2638.699951171875,0.4020001888275146,,3585.123046875,42.77076721191406,17.414798736572266,34.59175491333008,2.755000114440918,52.619998931884766,1283.0999755859375,,4.531249737397575,0.7066645397169724,,0,0.5875704968556613,0,0,0,0,0,1,1,2
2019-01-24,79.21671027228946,0.34113675381106656,18.88999938964844,7073.4599609375,2642.330078125,0.4069998264312744,,3600.865478515625,45.289493560791016,17.708465576171875,34.814876556396484,2.711999893188477,53.130001068115234,1279.0999755859375,,4.493912235707506,0.7420639223947268,,0,0.584362634242688,0,0,0,0,0,1,1,3
2019-01-25,80.4885444414048,1.6055124793035391,17.420000076293945,7164.85986328125,2664.760009765625,0.4249999523162842,,3599.765869140625,46.13224792480469,18.11960792541504,35.35808563232422,2.753000020980835,53.68999862670898,1297.4000244140625,,4.786452174985111,0.7453247455522881,,0,0.5886387786223188,0,0,0,0,0,1,1,4
2019-01-28,79.40933720270793,-1.340820915804386,18.8700008392334,7085.68017578125,2643.85009765625,0.4110000133514404,,3470.450439453125,45.270450592041016,17.806358337402344,35.319278717041016,2.74399995803833,51.9900016784668,1302.4000244140625,,4.580816035878772,0.7412955200300532,,0,0.5883183359007276,0,0,0,0,0,1,1,0
2019-01-29,78.12647562935238,-1.61550469824574,19.1299991607666,7028.2900390625,2640.0,0.3469998836517334,,3448.116943359375,44.670528411865234,17.55183982849121,35.270782470703125,2.711999893188477,53.310001373291016,1308.199951171875,,4.539466813777459,0.7394289187593169,,0,0.5850054332161356,0,0,0,0,0,1,1,1
2019-01-30,80.56299188023522,3.118681895292652,17.65999984741211,7183.080078125,2681.050048828125,0.3299999237060547,,3486.181640625,46.022735595703125,17.894460678100586,35.75580596923828,2.694999933242798,54.22999954223633,1309.9000244140625,,4.665345419112325,0.7388484993570602,,0,0.5900978204712373,0,0,0,0,0,1,1,2
2019-01-31,83.84916006951104,4.079004655339813,16.56999969482422,7281.740234375,2704.10009765625,0.2950000762939453,,3457.792724609375,45.989402770996094,18.070661544799805,36.36693954467773,2.634999990463257,53.790000915527344,1319.699951171875,,4.782136350220985,0.739092982285022,,0,0.5865129114208539,0,0,0,0,0,1,1,3
2019-02-01,84.08290868713742,0.27877275983754224,16.139999389648438,7263.8701171875,2706.530029296875,0.3510000705718994,,3487.9453125,46.57503890991211,18.11960792541504,37.09446716308594,2.690999984741211,55.2599983215332,1316.9000244140625,,4.956629679385792,0.7441263990728229,,0,0.5897914882619768,0,0,0,0,0,2,1,4
2019-02-04,85.33542493411473,1.489620502589628,15.729999542236328,7347.5400390625,2724.8701171875,0.3889999389648437,,3459.154052734375,46.8035888671875,18.286020278930664,37.666786193847656,2.7239999771118164,54.560001373291016,1314.300048828125,,4.917991281731044,0.7359662877667487,,0,0.5938356319427301,0,0,0,0,0,2,1,0
2019-02-05,85.98821383430844,0.764968242318731,15.56999969482422,7402.080078125,2737.699951171875,0.3369998931884765,,3466.357421875,47.06545639038086,18.4818058013916,37.7269287109375,2.70199990272522,53.65999984741211,1314.199951171875,,5.177906507819762,0.7339088724623246,,0,0.5932248236869988,0,0,0,0,0,2,1,1
2019-02-06,85.46556190082005,-0.6078181069041566,15.380000114440918,7375.27978515625,2731.610107421875,0.3369998931884765,,3413.767822265625,48.23197937011719,18.520965576171875,37.598880767822266,2.70199990272522,54.0099983215332,1309.5,,5.526007622325627,0.7495744275951854,,0,0.5923740161468994,0,0,0,0,0,2,1,2
2019-02-07,84.58836816606068,-1.0263709911336294,16.3700008392334,7288.35009765625,2706.050048828125,0.2969999313354492,,3399.4716796875,47.19401550292969,18.29581642150879,37.19147109985352,2.6519999504089355,52.63999938964844,1309.4000244140625,,5.193035905807043,0.7436424681665831,,0,0.58647853134729,0,0,0,0,0,2,1,3
2019-02-08,85.55849954060146,1.1468850807433206,15.720000267028809,7298.2001953125,2707.8798828125,0.2669999599456787,,3666.7802734375,47.06545639038086,18.11960792541504,37.27877426147461,2.631999969482422,52.720001220703125,1313.699951171875,,5.260813965868531,0.737362771601576,,0,0.583848207858579,0,0,0,0,0,2,1,4
2019-02-11,85.82484034129551,0.31129671759573263,15.970000267028809,7307.89990234375,2709.800048828125,0.2860000133514404,,3648.4306640625,47.27019119262695,18.18813133239746,37.42428970336914,2.6610000133514404,52.40999984741211,1307.0,,5.182842533443841,0.7408972119367971,,0,0.5864245008698681,0,0,0,0,0,2,1,0
